rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
60.0,52736,103,927,-6.531949740000001,56,0.00419902428984642,-0.007388980861287564,0.0003,0.6601954996585846,0.0544921875,0.2,0.04650043561123311,-0.654554195329547,0.0038715978,1020
60.0,53248,104,936,-6.52763218,56,-0.0019143745303153992,-0.01232035217108205,0.0003,0.6695626080036163,0.096875,0.2,0.043418353493325415,-0.7233676671981811,0.013932927,1030
60.0,53760,105,946,-6.49234114,56,0.004943316802382469,-0.013140705274417996,0.0003,0.7232434749603271,0.12109375,0.2,0.036116842029150574,-0.9306887127459049,0.01227309,1040
60.0,54272,106,955,-6.44508463,56,-0.011109352111816406,-0.009290128672728316,0.0003,0.9250681325793266,0.0451171875,0.2,0.01642391852219589,-0.8023574270308018,0.004257496,1050
60.0,54784,107,965,-6.440551280000001,56,-0.010603456757962704,-0.012835872813593597,0.0003,0.8838468790054321,0.0966796875,0.2,0.020707651384873314,-0.9762224465608597,0.011885956,1060
60.0,55296,108,975,-6.444741199999998,56,-0.035924799740314484,-0.011075362702831626,0.0003,0.9215599149465561,0.05234375,0.2,0.01693488041055389,-0.753100686520338,0.0073035927,1070
60.0,55808,109,986,-6.46481064,56,-0.00221454631537199,-0.008435690263286232,0.0003,0.8718768507242203,0.05,0.2,0.0347206297563389,-0.4135869700461626,0.0029457868,1080
60.0,56320,110,996,-6.453451580000001,56,0.03530379384756088,-0.008348876022500918,0.0003,0.8877786919474602,0.089453125,0.2,0.021349615952931344,-0.8953978531062603,0.0077876565,1090
60.0,56832,111,1005,-6.45263389,56,0.020927926525473595,-0.012731714767869561,0.0003,0.759247213602066,0.06953125,0.2,0.043054904160089794,-0.8841009713709355,0.0067848065,1100
60.0,57344,112,1014,-6.47721123,56,-0.026791011914610863,-0.013247807847801597,0.0003,0.944704458117485,0.0724609375,0.2,0.007375306627363898,-0.8077944025397301,0.0069232206,1110
60.0,57856,113,1025,-6.53201288,56,0.0180789977312088,-0.008360202092444525,0.0003,0.8481848388910294,0.031640625,0.2,0.023371304851025343,-0.7470669701695443,0.0056713047,1120
60.0,58368,114,1034,-6.5653783500000005,56,-0.003965149633586407,-0.009451473772060126,0.0003,0.9133428037166595,0.0599609375,0.2,0.017542274366132916,-0.9904553443193436,0.0068717767,1130
60.0,58880,115,1043,-6.517544929999999,56,-0.007414596155285835,-0.01058997898362577,0.0003,0.9014007151126862,0.055859375,0.2,0.015984901593765245,-1.0881457649171353,0.0065524084,1140
60.0,59392,116,1052,-6.5463729000000015,56,0.006545585580170155,-0.009522009472129866,0.0003,0.8713956922292709,0.051171875,0.2,0.02695346192922443,-0.6748505346477032,0.004298678,1150
60.0,59904,117,1062,-6.53037443,56,-0.025348782539367676,-0.013459915132261812,0.0003,0.7544454038143158,0.098046875,0.2,0.02532910743029788,-0.549612158536911,0.0073240977,1160
60.0,60416,118,1072,-6.548393940000002,56,0.012741127982735634,-0.009710392143460922,0.0003,0.8732501864433289,0.0353515625,0.2,0.020344714500242844,-0.730332937836647,0.0049250894,1170
