rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range
3.37,2,6.61550055,20136,116,59392,1150,0.0003,5.299984584748745,0.7637116611003876,-1.707823431491852,-0.03783822859986685,0.016655844,0.2068359375,1.381095051765442,0.2
3.36,2,6.262979650000001,20291,117,59904,1160,0.0003,7.162875255942344,0.6731451749801636,-1.9700180545449257,-0.01598411833983846,0.008504997,0.0587890625,3.6255125999450684,0.2
2.69,2,6.969419549999999,20455,118,60416,1170,0.0003,13.804935568571091,0.4843384623527527,-1.9024328619241715,-0.008503961531096138,0.0056802374,0.03984375,3.2797093391418457,0.2
4.31,2,5.46744472,20582,119,60928,1180,0.0003,17.784891188144684,0.5213659703731537,-1.8188489884138108,-0.006728027015924454,0.0052528684,0.0234375,7.969034671783447,0.2
4.58,2,5.94713796,20702,120,61440,1190,0.0003,12.50364272594452,0.45938175916671753,-2.007948549091816,-0.015111386263743042,0.0066835084,0.062890625,3.6437196731567383,0.2
4.29,2,6.3419996,20834,121,61952,1200,0.0003,17.107316970825195,0.4604458212852478,-1.8901195332407952,-0.010989892866928131,0.006978661,0.048046875,10.309992790222168,0.2
2.21,2,7.051523100000002,21006,122,62464,1210,0.0003,9.842942622303962,0.6927550733089447,-1.922840428352356,-0.01960799312510062,0.0058217905,0.0380859375,4.201262474060059,0.2
2.6,2,6.857342290000002,21153,123,62976,1220,0.0003,18.59005027413368,0.5112448930740356,-1.5872843489050865,-0.013681488996371626,0.0029388862,0.0482421875,9.342473983764648,0.2
5.14,2,5.44691906,21271,124,63488,1230,0.0003,21.07498162984848,0.41181451082229614,-1.8212329879403115,-0.013746208779048174,0.0070987567,0.05546875,11.942060470581055,0.2
2.38,2,7.061546949999999,21450,125,64000,1240,0.0003,9.642075490951537,0.5746831893920898,-1.981890082359314,-0.017858295753831042,0.011236938,0.101953125,3.262666940689087,0.2
3.18,2,6.458263770000001,21579,126,64512,1250,0.0003,17.465727543830873,0.5268343091011047,-1.6549409925937653,-0.006967629981227219,0.005811887,0.0427734375,5.615874767303467,0.2
2.13,2,6.914847040000001,21763,127,65024,1260,0.0003,10.802274763584137,0.6291400194168091,-1.9143480598926543,-0.011416421108879148,0.0049150214,0.045703125,4.1340131759643555,0.2
1.89,2,7.218899149999999,21950,128,65536,1270,0.0003,12.332319003343581,0.5413250029087067,-1.6011699616909028,-0.018515811819816007,0.009486403,0.077734375,3.4292140007019043,0.2
