r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
8.377396,1,19920.466228,True,True,0.0004093091022625,2.769903550824646,58501
9.474701,1,19921.977407,True,True,0.0006125256275808,0.7876004705668419,58502
7.874546,1,19921.979407,True,True,1.3048464101379895e-09,3.677148332559274,58503
8.597412,1,19921.981395,True,True,0.0043933694820391,2.3772330608993664,58504
9.075368,1,19923.415148,True,True,5.006481340608104e-13,1.4999604372875144,58505
5.363033,1,19923.417492,True,True,0.0005682645605846,8.212392933211234,58506
8.735658,1,19923.425478,True,True,5.815929332272199e-12,2.121603806052881,58507
8.249128,1,19924.889951,True,True,2.610981006555008e-09,3.0000022341829813,58508
9.906377,1,19924.892252,True,True,1.29934653661512e-09,0.0025628889834726,58509
7.515876,2,19926.485764,True,True,4.11320820679969e-10,3.0000327182160085,58511
5.532926,1,19927.868452,True,True,0.0056312416437616,7.909584095786288,58512
7.992426,2,19927.869102,True,True,0.0039894377290841,3.5171940425511314,58514
7.404993,1,19929.238658,True,True,0.0009301368459555,4.526702608727991,58515
7.802439,4,19930.393802,True,True,0.0026724047128865,3.6443399182880873,58519
9.908493,1,19930.394804,True,True,2.430406904544835e-11,0.002565318318387,58520
8.991721,2,19930.397462,True,True,2.818878073670983e-11,1.4999182249049563,58522
5.16702,2,19931.91497,True,True,0.0015238811362422,8.857035685974367,58524
-0.895845,3,19933.004675,True,True,0.0023372470669049,17.94636254563023,58527
3.767765,3,19933.006483,True,True,0.0007118036212712,10.964146135723707,58530
5.065994,1,19934.392988,True,True,0.0042688490501889,8.751406593840676,58531
7.473243,3,19935.659874,True,True,0.0023758444783971,3.3783923836772027,58534
9.149256,1,19935.66052,True,True,0.0031235899806098,1.3749883273642458,58535
2.53057,2,19935.662858,True,True,0.0048447207708314,12.207367686313022,58537
8.332078,1,19937.092717,True,True,0.004018472306444,2.855232857967773,58538
9.906792,1,19937.099749,True,True,6.023128538110336e-11,0.0025625362820057,58539
7.948682,2,19938.487087,True,True,0.0005368765561165,3.299325866198252,58541
7.698333,2,19938.489828,True,True,2.8950826368784252e-11,2.830581095643168,58543
7.523919,4,19939.829091,True,True,0.0011777214072196,3.1888044157378626,58547
9.541692,1,19939.838971,True,True,0.0010938544338227,0.6656052825164626,58548
8.249925,1,19939.839438,True,True,2.2192324102024625e-11,2.997534047577016,58549
9.90825,1,19941.272495,True,True,3.855120127270631e-10,0.0025625947370966,58550
9.81822,1,19941.275834,True,True,8.870669199190218e-10,0.1658953608855713,58551
9.450539,1,19941.281828,True,True,0.0041414790812183,0.8337085208645245,58552
8.133657,1,19942.732696,True,True,0.0052797365130692,3.211656311500769,58553
7.74791,3,19944.008197,True,True,0.010025395641741,3.628901076441076,58556
8.447866,2,19944.012531,True,True,0.0038889016428464,2.027050210730085,58558
7.272474,4,19945.395986,True,True,0.002345654390872,4.0129945279859855,58562
9.641239,1,19945.399166,True,True,0.0008178561444771,0.4862725115904324,58563
9.908582,1,19946.718539,True,True,2.4205681141286956e-10,0.0025630458347007,58564
8.07587,2,19946.720868,True,True,1.3355438521974463e-05,2.6686135845942998,58566
8.720781,1,19946.722872,True,True,0.001527428755063,2.1507021143885154,58567
7.287498,1,19948.267847,True,True,0.0059408449033938,4.743607081963633,58568
8.644773,1,19948.272236,True,True,0.0042759026557789,2.2915606706726463,58569
4.961214,2,19949.625197,True,True,0.0095919802744961,8.73533844719341,58571
8.918941,1,19950.849918,True,True,0.0026289467556617,1.7943655869701454,58572
9.143677,3,19952.146703,True,True,8.428526827969698e-06,3.544340575852731,58575
7.627287,1,19952.152034,True,True,0.0061610180892103,4.126890821933131,58576
9.111292,1,19953.52572,True,True,0.0060432122809532,1.446729681013831,58577
8.603992,1,19953.539593,True,True,0.0047835872574023,2.36492384352838,58578
5.413652,1,19954.863088,True,True,0.0047488711638689,8.121424041720708,58579
6.265641,1,19954.865424,True,True,0.0003271670301171,6.583075421550303,58580
9.907083,1,19956.270636,True,True,1.4744480097157418e-10,0.0025662902037524,58581
-4.038921,6,19956.272636,True,True,0.0041753044180836,14.583476760083007,58587
8.306831,2,19957.557696,True,True,0.0051638538927416,2.7324721719656133,58589
8.27809,1,19957.559034,True,True,0.0048989440798861,2.954467521386994,58590
6.267683,1,19958.939008,True,True,0.0026901314992338,6.580713496597492,58591
4.069633,2,19958.941008,True,True,0.0046335590125256,8.365719092211055,58593
6.797088,1,19960.380261,True,True,0.0047259921979165,5.622367639601313,58594
8.30851,1,19961.704072,True,True,0.0002727619300457,2.8932148924780328,58595
8.859255,2,19961.709574,True,True,0.0061438144590132,1.7372773832464194,58597
8.258176,1,19963.137167,True,True,0.0001528660249051,2.9798602951382653,58598
9.908202,1,19964.473507,True,True,5.961761417501227e-11,0.0025624601888314,58599
9.160518,1,19965.678605,True,True,2.0346704986624716e-05,1.3545513264580944,58600
0.174501,4,19966.862513,True,True,0.0097936696056179,16.171535738853194,58604
9.906883,1,19966.864499,True,True,3.9882334885813487e-10,0.0025633295076927,58605
9.908579,1,19968.229347,True,True,1.549073677739902e-09,0.00256827970187,58606
8.369175,1,19969.571955,True,True,0.0027262608298257,2.782786024339823,58607
8.327649,1,19970.810881,True,True,0.0009637372642052,2.8593458956325963,58608
6.593276,1,19972.054231,True,True,0.0002240040891056,5.991519811243053,58609
-9.605943,60,19972.059228,False,True,0.0195222832538008,17.90135604227869,58669
6.768142,4,19972.064227,True,True,0.0063506340935756,4.175117069518017,58673
7.483259,1,19973.756677,True,True,0.0034099740146897,4.387486709162838,58674
9.908489,1,19973.763692,True,True,4.6234946426970675e-10,0.0025627371002434,58675
3.807441,2,19975.425002,True,True,0.0046531397356832,9.885842680133504,58677
8.066371,1,19976.676434,True,True,0.0112517610639518,3.34003880396815,58678
1.087431,15,19978.024817,True,True,0.0113608029777122,12.356927758830548,58693
1.613398,3,19978.031156,True,True,0.0017439703073122,14.835956750035,58696
9.630683,1,19979.728788,True,True,0.0019047800908573,0.5071252330555971,58697
6.495651,2,19979.731134,True,True,0.0061225609331423,5.309789683533852,58699
9.908485,1,19979.734122,True,True,4.8641892425492795e-09,0.0025623535123527,58700
8.420518,1,19981.48545,True,True,0.0003465044619652,2.6914537307665825,58701
9.908572,1,19981.486812,True,True,2.1406463022605058e-10,0.0025806055236452,58702
7.548171,1,19981.489782,True,True,7.945963646571741e-05,4.262342964771053,58703
3.09572,1,19983.198722,True,True,5.371263475024133e-06,12.302511077833634,58704
5.734489,6,19983.199682,True,True,0.0036841418954681,6.386651961399911,58710
8.351034,1,19983.202894,True,True,0.0053090705385651,2.8212588214453294,58711
9.363843,1,19984.898681,True,True,0.000246497342785,0.9828922382802414,58712
9.825793,1,19984.899671,True,True,5.589971578425033e-05,0.1511405686331763,58713
6.521185,1,19984.904667,True,True,0.0119480974520014,6.128703838153764,58714
8.613508,2,19986.551584,True,True,0.0041332542400996,2.1085647655834663,58716
8.249594,1,19987.824397,True,True,3.5843445406808356e-11,3.0002618459801,58717
7.166461,4,19989.062234,True,True,0.005606224892907,4.228755970491044,58721
3.723148,4,19989.064218,True,True,0.0004130752609891,10.547011160660368,58725
8.402734,1,19990.704873,True,True,0.0049229473584446,2.729409343230388,58726
2.919117,3,19991.862228,True,True,2.365040250439966e-06,12.41781847792499,58729
0.027839,1,19991.866226,True,True,0.0004519869807309,17.834609351257242,58730
9.907966,1,19993.635004,True,True,1.0823852092389783e-09,0.0025649895383664,58731
6.963721,1,19993.639302,True,True,0.0106586142573048,5.331171079312487,58732
5.673402,4,19995.440988,True,True,0.0003471180275361,7.616411032181912,58736
8.249945,1,19995.44298,True,True,1.7952731435059346e-10,2.999628614127477,58737
8.24974,1,19997.189026,True,True,5.836769843489686e-09,2.999998933045869,58738
6.499092,2,19997.190029,True,True,0.0053969954014322,5.520602519022966,58740
7.810527,1,19997.196345,True,True,0.0054685195099995,3.798789692042472,58741
6.747686,1,19998.820378,True,True,0.0029467858946136,5.7154883581808456,58742
8.037288,2,20000.014778,True,True,0.0033539132915592,2.585349128736227,58744
7.578707,2,20001.293378,True,True,0.0025718575578588,3.9835974029559993,58746
8.132474,4,20002.666027,True,True,0.0015786336061221,2.8376404231466745,58750
8.016933,1,20002.668027,True,True,0.0035130392450198,3.424106880470746,58751
8.325782,1,20004.378452,True,True,6.667027897620109e-06,2.862645732461744,58752
9.195253,1,20004.382422,True,True,0.0032858414199454,1.2957744669976037,58753
8.39329,1,20006.051649,True,True,0.0072703129681623,2.748669589098637,58754
8.2232,1,20006.055649,True,True,0.0097394977370376,3.0579293677676063,58755
8.57152,1,20007.743632,True,True,6.647965622198104e-10,2.41836133746472,58756
7.664464,2,20009.099531,True,True,0.0006686462528097,2.866010487832519,58758
4.373285,2,20010.419909,True,True,8.453254949101693e-05,8.921957207775199,58760
7.727211,3,20011.823853,True,True,0.0021036942006492,3.3808239453191606,58763
7.064625,5,20013.039487,True,True,0.0038047583039054,3.4257233066575243,58768
7.321971,2,20014.314455,True,True,0.0034862992417843,4.653774953132543,58770
7.544873,2,20015.561798,True,True,0.0052292665045914,3.668825352473493,58772
9.666397,1,20015.5648,True,True,0.0021364734642468,0.4425776700946163,58773
9.791182,1,20017.252737,True,True,0.0002823830969498,0.2078958171178208,58774
7.580423,1,20018.619165,True,True,0.0001969930757773,4.2075402455400255,58775
5.944108,4,20019.938136,True,True,0.0005736965922153,6.466460809540928,58779
6.836153,3,20021.294302,True,True,0.0062221434700709,2.81026710052277,58782
5.89471,3,20022.743845,True,True,0.0045663668182803,6.955317995193609,58785
7.869228,3,20024.038142,True,True,8.096169927485422e-05,3.2885282803691305,58788
9.572285,1,20024.039142,True,True,0.0030195438620704,0.6132671182347954,58789
