time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,train/value_loss,rollout/ep_len_mean
18944,253,37,74,-0.0964067131280899,0.2,-2.227991858124733,0.0003,0.096484375,0.009917455,-0.014859953668201342,0.8262182325124741,-10.9039824,360,0.013292605272727086,150.0
19456,260,38,74,-0.14167191088199615,0.2,-2.261099225282669,0.0003,0.1361328125,0.015828494,-0.020281997974961996,0.9292977824807167,-10.85765499,370,0.008244313957402483,150.0
19968,267,39,74,-0.15315134823322296,0.2,-2.2489929258823396,0.0003,0.133984375,0.014587104,-0.019494057120755314,0.9608253873884678,-10.807710219999999,380,0.005248446008772589,150.0
20480,274,40,74,-0.1374061554670334,0.2,-2.2471472173929214,0.0003,0.065625,0.010165449,-0.011256360221887007,0.9773882534354925,-10.785537049999999,390,0.0029216753668151797,150.0
20992,280,41,74,-0.12997645139694214,0.2,-2.2456750512123107,0.0003,0.0921875,0.011320783,-0.012384718441171571,0.9748569242656231,-10.785537049999999,400,0.002974149589135777,150.0
21504,287,42,74,-0.13821817934513092,0.2,-2.2597733587026596,0.0003,0.11015625,0.012572732,-0.020426892081741244,0.9807823467999697,-10.72638905,410,0.0015283554697816727,150.0
22016,294,43,74,-0.16294994950294495,0.2,-2.2801513850688933,0.0003,0.1583984375,0.015321916,-0.02132826919259969,0.9912115475162864,-10.668003590000003,420,0.0008200703228794737,150.0
22528,301,44,74,-0.11209207773208618,0.2,-2.2893030107021333,0.0003,0.0607421875,0.0113386605,-0.007404732512077317,0.7816223651170731,-10.68853381,430,0.05147409994387999,150.0
23040,308,45,74,-0.1576954871416092,0.2,-2.3176208823919295,0.0003,0.1505859375,0.01708423,-0.02254394724732265,0.9725824948400259,-10.62738781,440,0.002967503809486516,150.0
23552,315,46,74,-0.13619957864284515,0.2,-2.3266957730054854,0.0003,0.123828125,0.015809977,-0.020103143714368343,0.983750456944108,-10.60805646,450,0.0011774555408919697,150.0
24064,322,47,74,-0.09257806837558746,0.2,-2.2914732694625854,0.0003,0.129296875,0.012408398,-0.022250822209753097,0.6558154225349426,-10.607773569999999,460,0.05613558208569884,150.0
24576,328,48,74,-0.1194937452673912,0.2,-2.2607128828763963,0.0003,0.1314453125,0.014982038,-0.019139506714418532,0.9595718421041965,-10.607773569999999,470,0.005092255961790216,150.0
25088,334,49,74,-0.11357094347476959,0.2,-2.260829269886017,0.0003,0.151171875,0.011011954,-0.020121006725821643,0.6420238316059113,-10.611302290000001,480,0.055394357070326805,150.0
25600,341,50,74,-0.139215886592865,0.2,-2.2217505007982252,0.0003,0.1748046875,0.015245971,-0.022178745234850795,0.9753085672855377,-10.5939097,490,0.00228569664832321,150.0
26112,349,51,74,-0.14864715933799744,0.2,-2.2216855764389036,0.0003,0.1267578125,0.013648698,-0.02125605074688792,0.9564850404858589,-10.588015099999998,500,0.0034495529442210683,150.0
26624,356,52,74,-0.14567658305168152,0.2,-2.1790339052677155,0.0003,0.10390625,0.012784025,-0.018991291511338205,0.9687737748026848,-10.592091289999999,510,0.0034385553328320382,150.0
27136,362,53,74,-0.13600322604179382,0.2,-2.19334362745285,0.0003,0.0611328125,0.011783112,-0.012136271735653282,0.7951434552669525,-10.620318069999998,520,0.04728335997206159,150.0
27648,369,54,74,-0.13380774855613708,0.2,-2.219996052980423,0.0003,0.1029296875,0.011253337,-0.018910374364349992,0.970246322453022,-10.621632749999998,530,0.00291997860695119,150.0
28160,375,55,74,-0.1294834315776825,0.2,-2.185892415046692,0.0003,0.08203125,0.010227935,-0.016081649699481206,0.9847549758851528,-10.621632749999998,540,0.0018579670264443847,150.0
28672,382,56,74,-0.1391335129737854,0.2,-2.1595900416374207,0.0003,0.1142578125,0.012009013,-0.018385884806048126,0.9878597026690841,-10.64726172,550,0.0007319430635106983,150.0
29184,389,57,74,-0.12033744901418686,0.2,-2.171742221713066,0.0003,0.0947265625,0.012025597,-0.01621722516720183,0.6911900639533997,-10.672515280000002,560,0.03492407259182073,150.0
29696,395,58,74,-0.1301293969154358,0.2,-2.2070696502923965,0.0003,0.0771484375,0.013195721,-0.012809645384550095,0.8011012077331543,-10.675390279999998,570,0.03921111080562696,150.0
30208,402,59,74,-0.15082457661628723,0.2,-2.2219928801059723,0.0003,0.111328125,0.011139646,-0.018995547364465893,0.9282379373908043,-10.67279473,580,0.005871342704631388,150.0
30720,409,60,74,-0.13484688103199005,0.2,-2.2155609667301177,0.0003,0.104296875,0.011210103,-0.02144130575179588,0.9723280388861895,-10.65605565,590,0.002819956033999915,150.0
31232,416,61,74,-0.12731371819972992,0.2,-2.2426475167274473,0.0003,0.1125,0.011709625,-0.020788847480434924,0.9905433701351285,-10.658801270000001,600,0.001070126760896528,150.0
31744,422,62,75,-0.10337337106466293,0.2,-2.121362143754959,0.0003,0.09609375,0.011739794,-0.01768920090980828,0.6698232293128967,-10.658801270000001,610,0.045502166787628084,150.0
32256,429,63,75,-0.08461081236600876,0.2,-2.225244829058647,0.0003,0.1009765625,0.010729255,-0.013643490389222279,0.6788836717605591,-10.68503262,620,0.05593088578316383,150.0
32768,436,64,75,-0.1122150868177414,0.2,-2.195774433016777,0.0003,0.0998046875,0.010669784,-0.016509594477247445,0.9703361913561821,-10.667048390000005,630,0.0028214945981744678,150.0
33280,444,65,74,-0.10954546928405762,0.2,-2.1763159692287446,0.0003,0.1484375,0.014626592,-0.02749945956747979,0.9923976506106555,-10.64912124,640,0.0009097767171624583,150.0
33792,450,66,74,-0.12320631742477417,0.2,-2.2110561400651934,0.0003,0.154296875,0.014667746,-0.014255943108582868,0.8329447954893112,-10.687239,650,0.05225037265336141,150.0
34304,457,67,74,-0.11238627880811691,0.2,-2.2624683350324633,0.0003,0.138671875,0.01383155,-0.021425205306150018,0.6663516759872437,-10.732364320000002,660,0.09466309898998589,150.0
34816,464,68,74,-0.10386665910482407,0.2,-2.2606756329536437,0.0003,0.1126953125,0.014301779,-0.01615184561815113,0.8322352319955826,-10.742945610000001,670,0.05338270852225833,150.0
35328,470,69,75,-0.14351414144039154,0.2,-2.2558770537376405,0.0003,0.2173828125,0.01874895,-0.030470835999585687,0.982030313462019,-10.742945610000001,680,0.002762081536639016,150.0
35840,477,70,75,-0.09306890517473221,0.2,-2.2308525532484054,0.0003,0.0986328125,0.013364367,-0.014475633553229273,0.6204012632369995,-10.762920730000001,690,0.045144115178845826,150.0
36352,484,71,75,-0.14142729341983795,0.2,-2.248402139544487,0.0003,0.1302734375,0.01221733,-0.019656787760322914,0.7298192083835602,-10.78308519,700,0.057773858727887276,150.0
36864,491,72,75,-0.1668453812599182,0.2,-2.2572961658239366,0.0003,0.15078125,0.013187513,-0.023117439460475,0.9784513749182224,-10.78545553,710,0.00401654177258024,150.0
37376,498,73,75,-0.13186568021774292,0.2,-2.2511569559574127,0.0003,0.0546875,0.008977805,-0.011508148920256644,0.9810972232371569,-10.766361830000003,720,0.0025214640547346788,150.0
37888,505,74,74,-0.14451217651367188,0.2,-2.2111418724060057,0.0003,0.1462890625,0.013687104,-0.020321925327880307,0.9943149774335325,-10.76678451,730,0.0007784700967022218,150.0
38400,512,75,74,-0.12483809143304825,0.2,-2.2353981763124464,0.0003,0.1470703125,0.012286989,-0.0166645587538369,0.813154324889183,-10.769975040000002,740,0.04652771246182965,150.0
38912,518,76,75,-0.1496005803346634,0.2,-2.2468186229467393,0.0003,0.1109375,0.012479063,-0.01599696570192464,0.9670757576823235,-10.769975040000002,750,0.0036037813537404873,150.0
39424,525,77,75,-0.079232357442379,0.2,-2.2530936360359193,0.0003,0.148828125,0.013929407,-0.0185702714137733,0.9823143780231476,-10.76981182,760,0.0014598206798837055,150.0
39936,532,78,75,-0.10069550573825836,0.2,-2.3063329339027403,0.0003,0.120703125,0.013384281,-0.012416027253493667,0.8078660368919373,-10.76998961,770,0.0523292078229133,150.0
40448,539,79,75,-0.11401811242103577,0.2,-2.3001672506332396,0.0003,0.116796875,0.012579411,-0.013895179098471998,0.787663608789444,-10.791850949999999,780,0.05615831991308369,150.0
