r,l,t,cum_timesteps,success_proxy
-6.668095,60,408.622811,25200,False
-6.095959,60,411.836251,25260,False
-7.475852,60,411.840271,25320,False
-6.701815,60,411.845834,25380,False
-6.978773,60,411.847825,25440,False
-6.939646,60,416.144697,25500,False
-6.742228,60,416.155283,25560,False
-7.076726,60,416.157282,25620,False
-6.823224,60,416.162272,25680,False
-6.858442,60,419.401146,25740,False
-6.229028,60,419.409728,25800,False
-7.303303,60,419.414698,25860,False
-7.234291,60,419.416707,25920,False
-7.8907,60,423.615844,25980,False
-7.049264,60,423.627435,26040,False
-7.612592,60,423.629509,26100,False
-6.573274,60,423.631487,26160,False
-6.194342,60,426.806679,26220,False
-6.238893,60,426.807162,26280,False
-6.350497,60,426.810197,26340,False
-6.686904,60,426.81427,26400,False
-6.301286,60,431.081475,26460,False
-6.368717,60,431.091068,26520,False
-6.278755,60,431.09206,26580,False
-6.123278,60,431.09206,26640,False
-6.009897,60,434.344091,26700,False
-6.306432,60,434.353681,26760,False
-6.167655,60,434.354677,26820,False
-7.1756,60,434.357676,26880,False
-6.506917,60,437.594278,26940,False
-6.55225,60,437.606856,27000,False
-6.183912,60,437.607858,27060,False
-6.945397,60,437.614829,27120,False
-5.955464,60,441.809876,27180,False
-6.914228,60,441.81846,27240,False
-6.416264,60,441.826482,27300,False
-6.125547,60,441.828458,27360,False
-6.092145,60,445.138719,27420,False
-7.030605,60,445.142288,27480,False
-6.485212,60,445.144287,27540,False
-6.168163,60,445.146307,27600,False
-6.429363,60,449.372101,27660,False
-6.167334,60,449.376717,27720,False
-5.971618,60,449.379741,27780,False
-7.069287,60,449.38468,27840,False
-6.116946,60,452.617449,27900,False
-7.077545,60,452.628035,27960,False
-7.546407,60,452.629039,28020,False
-5.684898,60,452.636033,28080,False
-7.239376,60,456.90474,28140,False
-6.087822,60,456.915326,28200,False
-7.11943,60,456.916321,28260,False
-6.459827,60,456.916321,28320,False
-6.397264,60,460.163206,28380,False
-6.744628,60,460.170799,28440,False
-6.863923,60,460.17579,28500,False
-6.537844,60,460.184323,28560,False
-6.365315,60,464.5367,28620,False
-7.001278,60,464.547286,28680,False
-5.852406,60,464.552268,28740,False
-6.327508,60,464.554268,28800,False
-5.780159,60,467.783807,28860,False
-6.757238,60,467.791402,28920,False
-7.318665,60,467.792372,28980,False
-5.944579,60,467.795382,29040,False
-6.173343,60,472.029265,29100,False
-6.59703,60,472.035855,29160,False
-5.500518,60,472.035855,29220,False
-6.085088,60,472.038852,29280,False
-6.238623,60,475.383115,29340,False
-7.126164,60,475.393701,29400,False
-6.743503,60,475.393701,29460,False
-6.693168,60,475.393701,29520,False
-6.049811,60,479.667628,29580,False
-6.055209,60,479.683174,29640,False
-7.306238,60,479.683174,29700,False
-6.872835,60,479.686172,29760,False
-6.067724,60,482.917188,29820,False
-7.696918,60,482.928786,29880,False
-6.456828,60,482.930779,29940,False
-6.14106,60,482.930779,30000,False
-6.419518,60,487.141982,30060,False
-6.662343,60,487.148565,30120,False
-6.425975,60,487.149568,30180,False
-7.095234,60,487.150573,30240,False
-6.125053,60,490.463818,30300,False
-6.505278,60,490.468126,30360,False
-7.150125,60,490.469134,30420,False
-6.717087,60,490.471404,30480,False
-5.897759,60,493.735724,30540,False
-6.397507,60,493.747449,30600,False
