time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss
2207,134144,112.52214904,60.0,262,60,2610,0.2,-0.003221880423370749,0.0003,0.002288552,441.09301776885985,0.6063877940177917,106.53617858886719,0.0060546875,-1.4047167867422103
2214,134656,114.50530344,60.0,263,60,2620,0.2,-0.005560823017731309,0.0003,0.003957644,588.212986755371,0.5531571209430695,136.79013061523438,0.0005859375,-1.3688402444124221
2221,135168,113.02624886,60.0,264,60,2630,0.2,-0.0033458705118391665,0.0003,0.0024185432,566.9284420013428,0.595377504825592,193.89706420898438,0.005078125,-1.3678791388869285
2228,135680,116.03688184,60.0,265,60,2640,0.2,-0.002939325594343245,0.0003,0.007404059,153.71821384429933,0.850942924618721,75.8542251586914,0.0671875,-1.4254787042737007
2235,136192,111.92253810000003,60.0,266,60,2650,0.2,-0.004604143544565886,0.0003,0.0037558945,573.2874034881592,0.4655725955963135,222.55093383789062,0.00703125,-1.4823858484625816
2242,136704,117.92734639,60.0,267,60,2660,0.2,-0.0027228231017943473,0.0003,0.0038790726,303.3195487976074,0.7573184072971344,140.37860107421875,0.024609375,-1.6034491330385208
2248,137216,123.37219180000002,60.0,268,61,2670,0.2,-0.010376388794975355,0.0003,0.0072436295,214.79344882965088,0.7265262603759766,65.01554870605469,0.044921875,-1.5501647993922234
2255,137728,128.79580045999998,60.0,269,61,2680,0.2,-0.01719591555884108,0.0003,0.011421254,376.5284885406494,0.6143525242805481,190.5177001953125,0.07734375,-1.416852717101574
2263,138240,130.74542254,60.0,270,61,2690,0.2,-0.007398266351083293,0.0003,0.005831836,973.6001052856445,0.4192425012588501,371.4219055175781,0.0208984375,-1.3745658591389656
2270,138752,128.86692101,60.0,271,61,2700,0.2,-0.0073948764940723775,0.0003,0.0030678066,415.5986137390137,0.6668757200241089,107.29425048828125,0.0263671875,-1.2692112296819686
2276,139264,126.67898634000002,60.0,272,61,2710,0.2,-0.0023765964026097207,0.0003,0.006479974,477.129808807373,0.6129209399223328,206.4241943359375,0.034765625,-1.3333258166909219
2283,139776,121.12641977000001,60.0,273,61,2720,0.2,-0.00542644276865758,0.0003,0.0056484495,169.85535974502562,0.8222867101430893,72.56791687011719,0.0228515625,-1.3131160855293273
2290,140288,131.55409087,60.0,274,61,2730,0.2,-0.012371253909077496,0.0003,0.0071047507,513.6650199890137,0.4862186908721924,165.5997772216797,0.03828125,-1.3073585003614425
2297,140800,128.08688977,60.0,275,61,2740,0.2,-0.008670552680268884,0.0003,0.0059409672,779.4452766418457,0.45470255613327026,257.0013122558594,0.0251953125,-1.2575408205389977
2304,141312,128.43850073,60.0,276,61,2750,0.2,-0.003119570203125477,0.0003,0.0030759762,343.31731662750246,0.6310515403747559,50.32590103149414,0.018359375,-1.234294356405735
2311,141824,126.7886479,60.0,277,61,2760,0.2,-0.006788189278449863,0.0003,0.0036697383,546.3192808151246,0.6398859918117523,184.3177947998047,0.026953125,-1.2115705177187919
2318,142336,128.99984194,60.0,278,61,2770,0.2,-0.004053967504296452,0.0003,0.0032364093,441.6972635269165,0.6931243240833282,179.06350708007812,0.030859375,-1.2683545798063278
2325,142848,126.79572323999999,60.0,279,61,2780,0.2,-0.0029970791132654996,0.0003,0.0062078107,164.68027539253234,0.7446931004524231,33.449859619140625,0.0494140625,-1.3366920709609986
2332,143360,121.8194132,60.0,280,61,2790,0.2,-0.006515065013081767,0.0003,0.0043730577,382.478484916687,0.5419865548610687,160.43016052246094,0.02421875,-1.3811540707945824
2339,143872,116.01132715,60.0,281,61,2800,0.2,-0.007904010912170634,0.0003,0.007683739,191.52923374176027,0.6454608142375946,53.74210739135742,0.1037109375,-1.410518404841423
2346,144384,110.07732436999999,60.0,282,61,2810,0.2,-0.003790303732967004,0.0003,0.002717097,231.11136827468872,0.6504800915718079,88.9256362915039,0.0154296875,-1.4094053283333778
2352,144896,107.73568622,60.0,283,61,2820,0.2,-0.0062792077078484,0.0003,0.005406295,212.00171546936036,0.7477638721466064,105.94623565673828,0.06328125,-1.4248279690742494
2360,145408,111.48536911000002,60.0,284,61,2830,0.2,-0.00602253443794325,0.0003,0.0029372144,464.5386936187744,0.6530008018016815,157.2278594970703,0.02265625,-1.3738223657011985
2368,145920,110.35381520000001,60.0,285,61,2840,0.2,-0.003973368692095391,0.0003,0.004349566,455.9557258605957,0.6901996731758118,196.20877075195312,0.0142578125,-1.3207960829138756
2379,146432,105.44620231,60.0,286,61,2850,0.2,-0.006225900212302804,0.0003,0.007935619,239.40871238708496,0.5531841814517975,80.125732421875,0.072265625,-1.380215649306774
2392,146944,105.77321634999998,60.0,287,61,2860,0.2,-0.008778201875975356,0.0003,0.007342642,376.16785659790037,0.5871963202953339,123.82102966308594,0.016796875,-1.3119553700089455
2405,147456,95.94924971,60.0,288,61,2870,0.2,-0.004546786611899734,0.0003,0.0071846554,88.85440802574158,0.8644081503152847,27.878705978393555,0.0705078125,-1.3505722090601922
2421,147968,90.74288089,60.0,289,61,2880,0.2,-0.005580067430855706,0.0003,0.0059410185,164.85089559555053,0.7945382297039032,37.60419464111328,0.0373046875,-1.3922825321555137
2434,148480,95.36678000000002,60.0,290,60,2890,0.2,-0.0051331596856471155,0.0003,0.0055287555,266.8883846282959,0.5424065589904785,68.12645721435547,0.0244140625,-1.3689199328422545
2446,148992,97.67320364,60.0,291,60,2900,0.2,-0.004885086708236485,0.0003,0.0050178664,299.0981718063355,0.5620690286159515,87.17772674560547,0.00703125,-1.355163724720478
2458,149504,102.87192516,60.0,292,60,2910,0.2,-0.011610772111453116,0.0003,0.007163562,330.96669616699216,0.6462130844593048,116.02523803710938,0.0451171875,-1.2404735475778579
2474,150016,107.06179564999998,60.0,293,60,2920,0.2,-0.0041584577003959565,0.0003,0.003611491,448.10375328063964,0.6305820047855377,116.90262603759766,0.0125,-1.206349028646946
2483,150528,112.93001208,60.0,294,60,2930,0.2,-0.004151316871866584,0.0003,0.0062968163,252.3657727241516,0.8080901652574539,23.106197357177734,0.03671875,-1.3521484807133675
2491,151040,113.24080802999998,60.0,295,60,2940,0.2,-0.009922354127047584,0.0003,0.005850904,403.97145862579345,0.6508423984050751,112.43319702148438,0.0357421875,-1.34238303899765
2499,151552,110.015906,60.0,296,60,2950,0.2,-0.0070692712179152295,0.0003,0.004971893,429.74180793762207,0.7455486357212067,178.0929718017578,0.040234375,-1.3503888115286826
2506,152064,113.4183513,60.0,297,60,2960,0.2,-0.0040209214552305635,0.0003,0.002957972,313.6792621612549,0.6912667453289032,176.2462615966797,0.03046875,-1.4036746084690095
2512,152576,109.57780708,60.0,298,60,2970,0.2,-0.0045441308175213635,0.0003,0.0050018416,543.3490009307861,0.4560765027999878,186.52114868164062,0.030859375,-1.4313796699047088
2519,153088,117.57536883,60.0,299,60,2980,0.2,-0.011096961167640983,0.0003,0.007907687,319.2663160324097,0.7168570458889008,124.67829132080078,0.0671875,-1.414854046702385
2527,153600,126.05124818999998,60.0,300,60,2990,0.2,-0.010789364983793348,0.0003,0.007641298,389.69401874542234,0.6578486561775208,123.24085235595703,0.0298828125,-1.3213610887527465
2534,154112,127.8984265,60.0,301,60,3000,0.2,-0.00434610506054014,0.0003,0.002265335,289.25319595336913,0.7619468420743942,97.80040740966797,0.0068359375,-1.1986802577972413
2540,154624,123.09742168000001,60.0,302,60,3010,0.2,-0.0005576504627242684,0.0003,0.0034873406,577.408263015747,0.4112691879272461,239.79420471191406,0.012890625,-1.2977593541145325
2547,155136,123.21586076,60.0,303,60,3020,0.2,-0.005336355097824708,0.0003,0.006455316,270.6041357040405,0.6640190780162811,93.16656494140625,0.096875,-1.3847438603639604
2554,155648,120.82364653,60.0,304,60,3030,0.2,-0.011456428735982627,0.0003,0.006231309,148.6956768989563,0.6803064048290253,51.00300598144531,0.0677734375,-1.3783436328172685
2561,156160,120.17527833000003,60.0,305,60,3040,0.2,-0.008359490218572319,0.0003,0.007174575,242.17003107070923,0.5063979625701904,54.681339263916016,0.040625,-1.3253599137067795
2568,156672,115.88238934999998,60.0,306,60,3050,0.2,-0.006888319260906428,0.0003,0.0054154713,163.1802050590515,0.7656380981206894,57.1034049987793,0.0640625,-1.2596675410866738
2575,157184,114.53540514999997,60.0,307,61,3060,0.2,-0.010516297043068334,0.0003,0.0059549296,100.25295405387878,0.8656492531299591,53.364501953125,0.0607421875,-1.2458193972706795
2583,157696,111.64605297000001,60.0,308,61,3070,0.2,-0.008420984965050593,0.0003,0.005232714,151.42859439849855,0.7662214934825897,64.07030487060547,0.0564453125,-1.271225167810917
2590,158208,114.91203182999998,60.0,309,61,3080,0.2,-0.00346576189622283,0.0003,0.0030252428,707.9999961853027,0.42821645736694336,273.74566650390625,0.02421875,-1.2935148492455482
2600,158720,112.66306213000001,60.0,310,61,3090,0.2,-0.007185774215031415,0.0003,0.005555761,415.7387218475342,0.4759867787361145,136.46597290039062,0.021484375,-1.263986587524414
2617,159232,105.17757923,60.0,311,60,3100,0.2,-0.007514434901531785,0.0003,0.005710251,361.04042263031005,0.5072276890277863,111.00747680664062,0.0685546875,-1.2845847874879837
2626,159744,107.85954556000003,60.0,312,60,3110,0.2,-0.0031189968751277773,0.0003,0.006401669,135.48137741088868,0.7748250514268875,18.708494186401367,0.0462890625,-1.3392159521579743
2635,160256,111.01081937999999,60.0,313,60,3120,0.2,-0.005413500612485222,0.0003,0.0040312763,638.9163414001465,0.5574037432670593,210.03260803222656,0.0083984375,-1.288502275943756
2644,160768,115.46998701999999,60.0,314,60,3130,0.2,-0.0044041596265742555,0.0003,0.004356238,515.0473644256592,0.5725553333759308,264.50518798828125,0.0341796875,-1.2712748631834985
2654,161280,115.96497803,60.0,315,60,3140,0.2,-0.0007678234833292663,0.0003,0.0037361993,487.64150886535646,0.6935958862304688,233.29031372070312,0.0361328125,-1.3712565779685975
