rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/clip_range,train/explained_variance
60.0,104960,205,-6.637085389999999,64,1639,-2.1146200090646743,0.1603515625,-0.025500166066922247,0.0003,0.01203445,2040,0.018850484420545398,-0.12629927694797516,0.2,0.8506731688976288
60.0,105472,206,-6.6239159500000016,64,1647,-2.1722590893507006,0.1552734375,-0.019582235289271922,0.0003,0.014599603,2050,0.06365252404939384,-0.0738929882645607,0.2,0.5789231359958649
60.0,105984,207,-6.632303179999999,63,1656,-2.148981028795242,0.1720703125,-0.026010292273713275,0.0003,0.016071323,2060,0.017616365186404435,-0.13844922184944153,0.2,0.7537173330783844
60.0,106496,208,-6.63257754,64,1663,-2.197045361995697,0.1091796875,-0.020899048782302997,0.0003,0.011646689,2070,0.0057165164937032385,-0.14700250327587128,0.2,0.9468098729848862
60.0,107008,209,-6.615326329999999,64,1671,-2.197877213358879,0.1189453125,-0.022468027734430508,0.0003,0.0123171285,2080,0.019713280716678126,-0.16344083845615387,0.2,0.770990863442421
60.0,107520,210,-6.61833058,63,1680,-2.2045024424791335,0.0822265625,-0.0157128719962202,0.0003,0.013842121,2090,0.11054188241250813,-0.048621080815792084,0.2,0.5629147887229919
60.0,108032,211,-6.574998410000001,63,1688,-2.1734844207763673,0.1494140625,-0.019954447919735684,0.0003,0.011538044,2100,0.006021940338541754,-0.12919645011425018,0.2,0.9175505936145782
60.0,108544,212,-6.586718890000001,63,1696,-2.1753995388746263,0.133984375,-0.023880258842837065,0.0003,0.011678591,2110,0.009829584107501432,-0.13601386547088623,0.2,0.8818157538771629
60.0,109056,213,-6.5773824,64,1703,-2.144246968626976,0.123046875,-0.023289749515242875,0.0003,0.012640518,2120,0.06356527917087078,-0.1108594536781311,0.2,0.6352078914642334
60.0,109568,214,-6.59603067,64,1711,-2.1225675851106645,0.110546875,-0.02414615817251615,0.0003,0.011584589,2130,0.021331206953618675,-0.1314934343099594,0.2,0.8406543731689453
