r,l,t,cum_timesteps,success_proxy
-6.154594,60,479.95857,32460,False
-6.289751,60,480.028353,32520,False
-6.926975,60,480.030351,32580,False
-6.071029,60,480.030351,32640,False
-6.479625,60,483.999454,32700,False
-7.056603,60,484.06923,32760,False
-7.23469,60,484.071229,32820,False
-6.077032,60,484.073223,32880,False
-7.377446,60,486.977272,32940,False
-7.588992,60,487.044048,33000,False
-7.067895,60,487.050053,33060,False
-5.592286,60,487.054024,33120,False
-6.427527,60,490.924734,33180,False
-6.365845,60,490.990516,33240,False
-6.325958,60,490.991515,33300,False
-7.265205,60,490.995513,33360,False
-7.501452,60,493.846831,33420,False
-7.439148,60,493.911289,33480,False
-5.616829,60,493.914276,33540,False
-6.902548,60,493.915276,33600,False
-7.059618,60,497.556664,33660,False
-6.881562,60,497.629447,33720,False
-5.741801,60,497.630438,33780,False
-7.927332,60,497.632427,33840,False
-7.437427,60,500.405752,33900,False
-6.177447,60,500.474546,33960,False
-6.934142,60,500.478685,34020,False
-5.568892,60,500.482688,34080,False
-6.589497,60,504.744243,34140,False
-6.178185,60,504.811343,34200,False
-6.81152,60,504.81235,34260,False
-6.143466,60,504.813024,34320,False
-6.990721,60,507.746849,34380,False
-7.245699,60,507.810464,34440,False
-5.808911,60,507.813456,34500,False
-7.81012,60,507.824636,34560,False
-5.951925,60,510.701326,34620,False
-6.511434,60,510.771111,34680,False
-7.078871,60,510.773105,34740,False
-7.14329,60,510.775103,34800,False
-6.669469,60,514.573566,34860,False
-6.015454,60,514.636348,34920,False
-6.400993,60,514.639344,34980,False
-5.830478,60,514.644345,35040,False
-7.453282,60,517.391473,35100,False
-6.380435,60,517.453274,35160,False
-5.789099,60,517.455273,35220,False
-5.619829,60,517.457155,35280,False
-6.996417,60,521.651799,35340,False
-7.588372,60,521.722895,35400,False
-6.739263,60,521.724893,35460,False
-9.291544,60,521.728896,35520,False
-6.664413,60,524.488727,35580,False
-6.261809,60,524.549508,35640,False
-7.305789,60,524.552506,35700,False
-5.9353,60,524.554506,35760,False
-7.036786,60,528.349804,35820,False
-6.511296,60,528.416535,35880,False
-7.179705,60,528.428056,35940,False
-6.318876,60,528.430136,36000,False
-6.021251,60,531.363559,36060,False
-6.869776,60,531.432339,36120,False
-6.126391,60,531.432345,36180,False
-6.85951,60,531.432345,36240,False
-6.194355,60,535.057529,36300,False
-6.071622,60,535.124313,36360,False
-6.475396,60,535.125311,36420,False
-5.730924,60,535.126311,36480,False
